"shapeid","x","y"
"0","-71.0166666667","42.3916666667"
"0","-71.0083333333","42.3916666667"
"0","-71.0083333333","42.3833333333"
"0","-71.0166666667","42.3833333333"
"0","-71.0166666667","42.3916666667"
"1","-71.0083333333","42.3916666667"
"1","-71.0","42.3916666667"
"1","-71.0","42.3833333333"
"1","-71.0083333333","42.3833333333"
"1","-71.0083333333","42.3916666667"
"2","-71.0","42.3916666667"
"2","-70.9916666667","42.3916666667"
"2","-70.9916666667","42.3833333333"
"2","-71.0","42.3833333333"
"2","-71.0","42.3916666667"
"3","-70.9916666667","42.3916666667"
"3","-70.9833333333","42.3916666667"
"3","-70.9833333333","42.3833333333"
"3","-70.9916666667","42.3833333333"
"3","-70.9916666667","42.3916666667"
"4","-71.075","42.3833333333"
"4","-71.0666666667","42.3833333333"
"4","-71.0666666667","42.375"
"4","-71.075","42.375"
"4","-71.075","42.3833333333"
"5","-71.0666666667","42.3833333333"
"5","-71.0583333333","42.3833333333"
"5","-71.0583333333","42.375"
"5","-71.0666666667","42.375"
"5","-71.0666666667","42.3833333333"
"6","-71.0583333333","42.3833333333"
"6","-71.05","42.3833333333"
"6","-71.05","42.375"
"6","-71.0583333333","42.375"
"6","-71.0583333333","42.3833333333"
"7","-71.0416666667","42.3833333333"
"7","-71.0333333333","42.3833333333"
"7","-71.0333333333","42.375"
"7","-71.0416666667","42.375"
"7","-71.0416666667","42.3833333333"
"8","-71.0333333333","42.3833333333"
"8","-71.025","42.3833333333"
"8","-71.025","42.375"
"8","-71.0333333333","42.375"
"8","-71.0333333333","42.3833333333"
"9","-71.025","42.3833333333"
"9","-71.0166666667","42.3833333333"
"9","-71.0166666667","42.375"
"9","-71.025","42.375"
"9","-71.025","42.3833333333"
"10","-71.1333333333","42.375"
"10","-71.125","42.375"
"10","-71.125","42.3666666667"
"10","-71.1333333333","42.3666666667"
"10","-71.1333333333","42.375"
"11","-71.0666666667","42.375"
"11","-71.0583333333","42.375"
"11","-71.0583333333","42.3666666667"
"11","-71.0666666667","42.3666666667"
"11","-71.0666666667","42.375"
"12","-71.0416666667","42.375"
"12","-71.0333333333","42.375"
"12","-71.0333333333","42.3666666667"
"12","-71.0416666667","42.3666666667"
"12","-71.0416666667","42.375"
"13","-71.0333333333","42.375"
"13","-71.025","42.375"
"13","-71.025","42.3666666667"
"13","-71.0333333333","42.3666666667"
"13","-71.0333333333","42.375"
"14","-71.1416666667","42.3666666667"
"14","-71.1333333333","42.3666666667"
"14","-71.1333333333","42.3583333333"
"14","-71.1416666667","42.3583333333"
"14","-71.1416666667","42.3666666667"
"15","-71.1333333333","42.3666666667"
"15","-71.125","42.3666666667"
"15","-71.125","42.3583333333"
"15","-71.1333333333","42.3583333333"
"15","-71.1333333333","42.3666666667"
"16","-71.125","42.3666666667"
"16","-71.1166666667","42.3666666667"
"16","-71.1166666667","42.3583333333"
"16","-71.125","42.3583333333"
"16","-71.125","42.3666666667"
"17","-71.075","42.3666666667"
"17","-71.0666666667","42.3666666667"
"17","-71.0666666667","42.3583333333"
"17","-71.075","42.3583333333"
"17","-71.075","42.3666666667"
"18","-71.0666666667","42.3666666667"
"18","-71.0583333333","42.3666666667"
"18","-71.0583333333","42.3583333333"
"18","-71.0666666667","42.3583333333"
"18","-71.0666666667","42.3666666667"
"19","-71.0583333333","42.3666666667"
"19","-71.05","42.3666666667"
"19","-71.05","42.3583333333"
"19","-71.0583333333","42.3583333333"
"19","-71.0583333333","42.3666666667"
"20","-71.175","42.3583333333"
"20","-71.1666666667","42.3583333333"
"20","-71.1666666667","42.35"
"20","-71.175","42.35"
"20","-71.175","42.3583333333"
"21","-71.1666666667","42.3583333333"
"21","-71.1583333333","42.3583333333"
"21","-71.1583333333","42.35"
"21","-71.1666666667","42.35"
"21","-71.1666666667","42.3583333333"
"22","-71.1583333333","42.3583333333"
"22","-71.15","42.3583333333"
"22","-71.15","42.35"
"22","-71.1583333333","42.35"
"22","-71.1583333333","42.3583333333"
"23","-71.15","42.3583333333"
"23","-71.1416666667","42.3583333333"
"23","-71.1416666667","42.35"
"23","-71.15","42.35"
"23","-71.15","42.3583333333"
"24","-71.1416666667","42.3583333333"
"24","-71.1333333333","42.3583333333"
"24","-71.1333333333","42.35"
"24","-71.1416666667","42.35"
"24","-71.1416666667","42.3583333333"
"25","-71.1333333333","42.3583333333"
"25","-71.125","42.3583333333"
"25","-71.125","42.35"
"25","-71.1333333333","42.35"
"25","-71.1333333333","42.3583333333"
"26","-71.125","42.3583333333"
"26","-71.1166666667","42.3583333333"
"26","-71.1166666667","42.35"
"26","-71.125","42.35"
"26","-71.125","42.3583333333"
"27","-71.0833333333","42.3583333333"
"27","-71.075","42.3583333333"
"27","-71.075","42.35"
"27","-71.0833333333","42.35"
"27","-71.0833333333","42.3583333333"
"28","-71.075","42.3583333333"
"28","-71.0666666667","42.3583333333"
"28","-71.0666666667","42.35"
"28","-71.075","42.35"
"28","-71.075","42.3583333333"
"29","-71.0666666667","42.3583333333"
"29","-71.0583333333","42.3583333333"
"29","-71.0583333333","42.35"
"29","-71.0666666667","42.35"
"29","-71.0666666667","42.3583333333"
"30","-71.0583333333","42.3583333333"
"30","-71.05","42.3583333333"
"30","-71.05","42.35"
"30","-71.0583333333","42.35"
"30","-71.0583333333","42.3583333333"
"31","-71.05","42.3583333333"
"31","-71.0416666667","42.3583333333"
"31","-71.0416666667","42.35"
"31","-71.05","42.35"
"31","-71.05","42.3583333333"
"32","-71.175","42.35"
"32","-71.1666666667","42.35"
"32","-71.1666666667","42.3416666667"
"32","-71.175","42.3416666667"
"32","-71.175","42.35"
"33","-71.1666666667","42.35"
"33","-71.1583333333","42.35"
"33","-71.1583333333","42.3416666667"
"33","-71.1666666667","42.3416666667"
"33","-71.1666666667","42.35"
"34","-71.1583333333","42.35"
"34","-71.15","42.35"
"34","-71.15","42.3416666667"
"34","-71.1583333333","42.3416666667"
"34","-71.1583333333","42.35"
"35","-71.15","42.35"
"35","-71.1416666667","42.35"
"35","-71.1416666667","42.3416666667"
"35","-71.15","42.3416666667"
"35","-71.15","42.35"
"36","-71.1416666667","42.35"
"36","-71.1333333333","42.35"
"36","-71.1333333333","42.3416666667"
"36","-71.1416666667","42.3416666667"
"36","-71.1416666667","42.35"
"37","-71.1083333333","42.35"
"37","-71.1","42.35"
"37","-71.1","42.3416666667"
"37","-71.1083333333","42.3416666667"
"37","-71.1083333333","42.35"
"38","-71.1","42.35"
"38","-71.0916666667","42.35"
"38","-71.0916666667","42.3416666667"
"38","-71.1","42.3416666667"
"38","-71.1","42.35"
"39","-71.0916666667","42.35"
"39","-71.0833333333","42.35"
"39","-71.0833333333","42.3416666667"
"39","-71.0916666667","42.3416666667"
"39","-71.0916666667","42.35"
"40","-71.0833333333","42.35"
"40","-71.075","42.35"
"40","-71.075","42.3416666667"
"40","-71.0833333333","42.3416666667"
