shapeid,x,y
1,-71.0125,42.3875
2,-71.00416666,42.3875
3,-70.99583333,42.3875
4,-70.9875,42.3875
5,-71.07083333,42.37916667
6,-71.0625,42.37916667
7,-71.05416666,42.37916667
8,-71.0375,42.37916666
9,-71.02916667,42.37916667
10,-71.02083334,42.37916667
11,-71.12916666,42.37083334
12,-71.0625,42.37083334
13,-71.0375,42.37083333
14,-71.02916667,42.37083334
17,-71.1375,42.3625
18,-71.12916666,42.3625
19,-71.12083333,42.3625
20,-71.07083333,42.3625
21,-71.0625,42.3625
22,-71.05416666,42.3625
26,-71.17083333,42.35416667
27,-71.1625,42.35416666
28,-71.15416667,42.35416667
29,-71.14583334,42.35416667
30,-71.1375,42.35416667
31,-71.12916666,42.35416667
32,-71.12083333,42.35416667
33,-71.07916666,42.35416667
34,-71.07083333,42.35416667
35,-71.0625,42.35416667
36,-71.05416666,42.35416667
37,-71.04583334,42.35416667
41,-71.17083333,42.34583334
42,-71.1625,42.34583334
43,-71.15416667,42.34583334
44,-71.14583334,42.34583334
45,-71.1375,42.34583334
46,-71.10416666,42.34583334
47,-71.09583333,42.34583334
48,-71.0875,42.34583334
49,-71.07916666,42.34583334
50,-71.07083333,42.34583334
51,-71.0625,42.34583334
52,-71.05416666,42.34583334
53,-71.04583334,42.34583334
54,-71.0375,42.34583334
55,-71.02916667,42.34583334
57,-71.1625,42.3375
58,-71.15416667,42.3375
59,-71.10416666,42.3375
60,-71.09583333,42.3375
61,-71.0875,42.3375
62,-71.07916667,42.3375
63,-71.07083333,42.3375
64,-71.0625,42.3375
65,-71.05416666,42.3375
66,-71.04583333,42.3375
67,-71.0375,42.3375
68,-71.02916667,42.3375
70,-71.1125,42.32916667
71,-71.10416666,42.32916667
72,-71.09583333,42.32916667
73,-71.0875,42.32916667
74,-71.07916666,42.32916667
75,-71.07083333,42.32916667
76,-71.0625,42.32916667
77,-71.05416666,42.32916667
78,-71.04583334,42.32916667
79,-71.0375,42.32916667
80,-71.1125,42.32083333
81,-71.10416666,42.32083334
82,-71.09583333,42.32083334
83,-71.0875,42.32083333
84,-71.07916666,42.32083334
85,-71.07083333,42.32083334
86,-71.0625,42.32083333
87,-71.05416666,42.32083334
88,-71.04583333,42.32083334
89,-71.12916667,42.3125
90,-71.12083333,42.3125
91,-71.1125,42.3125
92,-71.10416666,42.3125
93,-71.09583333,42.3125
94,-71.0875,42.3125
95,-71.07916666,42.3125
96,-71.07083333,42.3125
97,-71.0625,42.3125
98,-71.05416666,42.3125
99,-71.04583333,42.3125
100,-71.0375,42.3125
102,-71.1375,42.30416666
103,-71.12916666,42.30416667
104,-71.12083334,42.30416667
105,-71.1125,42.30416666
106,-71.10416666,42.30416667
107,-71.09583333,42.30416667
108,-71.0875,42.30416666
109,-71.07916666,42.30416667
110,-71.07083333,42.30416667
111,-71.0625,42.30416666
112,-71.05416666,42.30416667
113,-71.17083333,42.29583333
114,-71.1625,42.29583333
115,-71.15416667,42.29583333
116,-71.14583334,42.29583333
117,-71.1375,42.29583333
118,-71.12916666,42.29583333
119,-71.12083333,42.29583333
120,-71.1125,42.29583333
121,-71.10416666,42.29583333
122,-71.09583333,42.29583333
123,-71.0875,42.29583333
124,-71.07916666,42.29583333
125,-71.07083333,42.29583333
126,-71.0625,42.29583333
127,-71.05416666,42.29583333
128,-71.04583334,42.29583333
129,-71.17916666,42.2875
130,-71.17083333,42.2875
131,-71.1625,42.2875
132,-71.15416667,42.2875
133,-71.14583334,42.2875
134,-71.1375,42.2875
135,-71.12916666,42.2875
136,-71.12083333,42.2875
137,-71.1125,42.2875
138,-71.10416666,42.2875
139,-71.09583333,42.2875
140,-71.0875,42.2875
141,-71.07916667,42.2875
142,-71.07083333,42.2875
143,-71.0625,42.2875
144,-71.05416666,42.2875
145,-71.04583333,42.2875
146,-71.17916666,42.27916666
147,-71.17083333,42.27916666
148,-71.1625,42.27916667
149,-71.15416667,42.27916666
150,-71.14583334,42.27916666
151,-71.1375,42.27916667
152,-71.12916666,42.27916666
153,-71.12083333,42.27916666
154,-71.1125,42.27916667
155,-71.10416666,42.27916666
156,-71.09583333,42.27916666
157,-71.0875,42.27916667
158,-71.07916666,42.27916666
159,-71.07083333,42.27916666
160,-71.0625,42.27916667
161,-71.05416666,42.27916666
162,-71.04583334,42.27916666
163,-71.17083333,42.27083334
164,-71.1625,42.27083333
165,-71.15416667,42.27083334
166,-71.14583334,42.27083334
167,-71.1375,42.27083333
168,-71.12916666,42.27083334
169,-71.12083333,42.27083334
170,-71.1125,42.27083333
171,-71.10416666,42.27083334
172,-71.09583333,42.27083334
173,-71.0875,42.27083333
174,-71.07916666,42.27083334
175,-71.07083333,42.27083334
176,-71.0625,42.27083333
177,-71.1625,42.2625
178,-71.15416667,42.2625
179,-71.14583334,42.2625
180,-71.1375,42.2625
181,-71.12916666,42.2625
182,-71.12083333,42.2625
183,-71.1125,42.2625
184,-71.10416666,42.2625
185,-71.14583334,42.25416667
186,-71.1375,42.25416667
187,-71.12916666,42.25416667
188,-71.12083333,42.25416667
189,-71.1125,42.25416667
190,-71.1375,42.24583334
191,-71.12916666,42.24583334
192,-71.12083333,42.24583334
193,-71.1375,42.2375
194,-71.12916666,42.2375
195,-71.12916666,42.22916667
