id_grid,category,mean_walking_time,mean_distance,pop
1,atm,713.5714284,954.714286,2777.613037
1,bank,553.4509804,742.862745,2777.613037
1,bar,883.5,1187.75,2777.613037
1,clothing store,534.3809524,719.047619,2777.613037
1,grocery store,810.153846,1086.692308,2777.613037
1,laundry,637.9444446,857.611111,2777.613037
1,park,639.7222224,852.666667,2777.613037
1,pharmacy,676.722222,892.055556,2777.613037
1,restaurant,489.8493151,660.273973,2777.613037
1,school,486.5555555,643.888889,2777.613037
2,atm,#VALUE!,#VALUE!,3780.694336
2,bank,#VALUE!,#VALUE!,3780.694336
2,bar,236.173913,278.086957,3780.694336
2,clothing store,#VALUE!,#VALUE!,3780.694336
2,grocery store,#VALUE!,#VALUE!,3780.694336
2,laundry,#VALUE!,#VALUE!,3780.694336
2,park,#VALUE!,#VALUE!,3780.694336
2,pharmacy,#VALUE!,#VALUE!,3780.694336
2,restaurant,#VALUE!,#VALUE!,3780.694336
2,school,#VALUE!,#VALUE!,3780.694336
2,subway station,564,785.5,3780.694336
3,atm,358.6666667,484.666667,468.4764404
3,bank,1276.666667,1708.666667,468.4764404
3,clothing store,1066.333333,1378.666667,468.4764404
3,grocery store,967.0000002,1229,468.4764404
3,laundry,508.6666667,683.333333,468.4764404
3,park,316.3333333,428.666667,468.4764404
3,pharmacy,1154.666666,1508,468.4764404
3,restaurant,637.9999998,846,468.4764404
3,school,465.3333334,634,468.4764404
3,subway station,539.3333333,721.444444,468.4764404
4,atm,1368.875,1797.5,863.8595581
4,bank,1874,2525,863.8595581
4,bar,691.0000002,961,863.8595581
4,clothing store,1747.8,2305.2,863.8595581
4,grocery store,1090.666667,1459.833333,863.8595581
4,laundry,1346,1787.166667,863.8595581
4,park,800.1666666,1066,863.8595581
4,pharmacy,1801,2379.333333,863.8595581
4,restaurant,1112.5,1502.555556,863.8595581
4,school,1093.833334,1454,863.8595581
4,subway station,1438,1950,863.8595581
5,atm,413.2222222,537.944444,2902.0625
5,bank,456.5555555,604.555556,2902.0625
5,bar,1078,1388.625,2902.0625
5,clothing store,613.611111,777.555556,2902.0625
5,grocery store,574.2,737.4,2902.0625
5,laundry,556.2222222,727.944444,2902.0625
5,park,457.7222222,596.5,2902.0625
5,pharmacy,501.3333334,649.380952,2902.0625
5,restaurant,479.7333334,626.266667,2902.0625
5,school,364.9444444,477.722222,2902.0625
5,subway station,517.5714286,660.285714,2902.0625
6,atm,245.2291667,319.208333,6450.724609
6,bank,437.6470588,565.588235,6450.724609
6,bar,253.1481481,344.166667,6450.724609
6,clothing store,253.4222222,320.511111,6450.724609
6,grocery store,241.0909091,320.590909,6450.724609
6,laundry,287.4358975,371.282051,6450.724609
6,park,214.6410256,271.769231,6450.724609
6,pharmacy,352.9333333,453.377778,6450.724609
6,restaurant,156.7272727,213.909091,6450.724609
6,school,217.2307693,284.179487,6450.724609
6,subway station,804.4705884,992.441176,6450.724609
7,atm,465.1212121,610.242424,3319.79126
7,bank,3145.555556,4138.666667,3319.79126
7,bar,391.625,528.625,3319.79126
7,clothing store,281.4074074,381.925926,3319.79126
7,grocery store,856.7500002,1133.75,3319.79126
7,laundry,536.2380952,713.142857,3319.79126
7,park,219.952381,292.761905,3319.79126
7,pharmacy,1300.111111,1688.944444,3319.79126
7,restaurant,173.2857143,226.428571,3319.79126
7,school,201.7894737,266.210526,3319.79126
7,subway station,1337.846154,1691.538462,3319.79126
8,atm,240.627907,314.72093,10260.38184
8,bank,290.0081301,394.569106,10260.38184
8,bar,353.3255814,488.162791,10260.38184
8,clothing store,332.6461538,452.307692,10260.38184
8,grocery store,213.9631902,288.552147,10260.38184
8,laundry,225.5,290.546875,10260.38184
8,park,196.1904762,260.571429,10260.38184
8,pharmacy,204.2222222,267.222222,10260.38184
8,restaurant,170.7945205,226.260274,10260.38184
8,school,148.3650794,195.238095,10260.38184
9,atm,277.3333333,354.190476,7017.679688
9,bank,835.1428572,1116.428571,7017.679688
9,bar,287.2352941,375.705882,7017.679688
9,clothing store,275,366.844444,7017.679688
9,grocery store,428.0416667,567.138889,7017.679688
9,laundry,242.9135803,323.493827,7017.679688
9,park,251.4285714,318.97619,7017.679688
9,pharmacy,993.2916666,1309.958333,7017.679688
9,restaurant,233.3,310.033333,7017.679688
9,school,293.2619048,383.190476,7017.679688
10,atm,434.6666666,559.666667,1177.91394
10,bank,1108,1503.666667,1177.91394
10,bar,437.3333333,575.833333,1177.91394
10,clothing store,542.1666667,706.666667,1177.91394
10,grocery store,309.7777778,402.333333,1177.91394
10,laundry,505.8333334,651.833333,1177.91394
10,park,301.1666666,404.5,1177.91394
10,pharmacy,1248.5,1690.333333,1177.91394
10,restaurant,549.8333333,710.166667,1177.91394
10,school,497.1666667,662,1177.91394
11,atm,147.6666667,187.666667,526.0653687
11,bank,770.3333334,972.666667,526.0653687
11,bar,734.6666664,932.333333,526.0653687
11,clothing store,713.3333334,906.666667,526.0653687
11,grocery store,865.0000002,1038,526.0653687
11,laundry,604.9999998,776.666667,526.0653687
11,park,401,516,526.0653687
11,pharmacy,792,991,526.0653687
11,school,327.6666667,396,526.0653687
12,atm,493.7619047,628.047619,2920.716797
