"shapeid","pop","id_grid","categry","walking_min"
"0","2777.61303711","1.0","park","10.662037037"
"1","3780.69433594","2.0","park","NULL"
"2","468.47644043","3.0","park","5.27222222222"
"3","863.859558105","4.0","park","13.3361111111"
"4","2902.0625","5.0","park","7.6287037037"
"5","6450.72460938","6.0","park","3.57735042735"
"6","3319.79125977","7.0","park","3.66587301587"
"7","10260.3818359","8.0","park","3.26984126984"
"8","7017.6796875","9.0","park","4.19047619048"
"9","1177.91394043","10.0","park","5.01944444444"
"10","526.065368652","11.0","park","6.68333333333"
"11","2920.71679688","12.0","park","4.30909090909"
"12","8517.32910156","13.0","park","3.93009259259"
"13","1571.62365723","14.0","park","14.0111111111"
"14","1892.6295166","17.0","park","11.9083333333"
"15","2634.33569336","18.0","park","3.80666666667"
"16","2054.44433594","19.0","park","6.65"
"17","5647.87841797","20.0","park","3.44545454545"
"18","6942.15429688","21.0","park","2.81212121212"
"19","9633.91113281","22.0","park","4.5996969697"
"20","2730.18725586","26.0","park","22.7477777778"
"21","3963.09448242","27.0","park","14.2277777778"
"22","3566.87817383","28.0","park","12.4682539683"
"23","3143.32495117","29.0","park","4.32592592593"
"24","4499.97460938","30.0","park","5.13086419753"
"25","7436.52539062","31.0","park","9.77481481481"
"26","5378.69921875","32.0","park","8.82323232323"
"27","5254.00048828","33.0","park","4.38838383838"
"28","4531.37011719","34.0","park","2.88717948718"
"29","7437.19726562","35.0","park","2.98708333333"
"30","1940.73022461","36.0","park","4.98055555556"
"31","512.653381348","37.0","park","3.73333333333"
"32","2282.65820312","41.0","park","9.70333333333"
"33","2272.95166016","42.0","park","6.80111111111"
"34","4335.59716797","43.0","park","3.8549382716"
"35","6078.22900391","44.0","park","5.37083333333"
"36","9217.59082031","45.0","park","4.96141975309"
"37","9518.62695312","46.0","park","6.0865497076"
"38","7671.37207031","47.0","park","5.07851851852"
"39","12887.0117188","48.0","park","5.16125541126"
"40","8707.29980469","49.0","park","3.2862745098"
"41","10014.5976562","50.0","park","3.46350574713"
"42","4272.33447266","51.0","park","7.57407407407"
"43","1068.34106445","52.0","park","4.55277777778"
