"shapeid","pop","id_grid","categry","walking_min"
"0","2777.61303711","1.0","restaurant","8.16415525114"
"1","3780.69433594","2.0","restaurant","NULL"
"2","468.47644043","3.0","restaurant","10.6333333333"
"3","863.859558105","4.0","restaurant","18.5416666667"
"4","2902.0625","5.0","restaurant","7.99555555556"
"5","6450.72460938","6.0","restaurant","2.61212121212"
"6","3319.79125977","7.0","restaurant","2.8880952381"
"7","10260.3818359","8.0","restaurant","2.84657534247"
"8","7017.6796875","9.0","restaurant","3.88833333333"
"9","1177.91394043","10.0","restaurant","9.16388888889"
"10","526.065368652","11.0","NULL","NULL"
"11","2920.71679688","12.0","restaurant","5.35"
"12","8517.32910156","13.0","restaurant","2.36728395062"
"13","1571.62365723","14.0","restaurant","8.02619047619"
"14","1892.6295166","17.0","restaurant","9.03725490196"
"15","2634.33569336","18.0","restaurant","6.16111111111"
"16","2054.44433594","19.0","restaurant","10.6075757576"
"17","5647.87841797","20.0","restaurant","5.49558823529"
"18","6942.15429688","21.0","restaurant","2.59705882353"
"19","9633.91113281","22.0","restaurant","2.37113095238"
"20","2730.18725586","26.0","restaurant","26.5636363636"
"21","3963.09448242","27.0","restaurant","22.6962962963"
"22","3566.87817383","28.0","restaurant","42.0547008547"
"23","3143.32495117","29.0","restaurant","1.79166666667"
"24","4499.97460938","30.0","restaurant","5.59074074074"
"25","7436.52539062","31.0","restaurant","7.30416666667"
"26","5378.69921875","32.0","restaurant","8.89428571429"
"27","5254.00048828","33.0","restaurant","4.90495495495"
"28","4531.37011719","34.0","restaurant","2.54914529915"
"29","7437.19726562","35.0","restaurant","1.29285714286"
"30","1940.73022461","36.0","restaurant","9.00362318841"
"31","512.653381348","37.0","restaurant","3.15"
"32","2282.65820312","41.0","restaurant","11.8333333333"
"33","2272.95166016","42.0","restaurant","9.06153846154"
"34","4335.59716797","43.0","restaurant","4.25"
"35","6078.22900391","44.0","restaurant","4.05925925926"
"36","9217.59082031","45.0","restaurant","4.26354166667"
"37","9518.62695312","46.0","restaurant","2.84677419355"
"38","7671.37207031","47.0","restaurant","2.67761904762"
"39","12887.0117188","48.0","restaurant","4.40833333333"
"40","8707.29980469","49.0","restaurant","2.32484848485"
"41","10014.5976562","50.0","restaurant","3.11356589147"
"42","4272.33447266","51.0","restaurant","5.93735632184"
"43","1068.34106445","52.0","restaurant","4.74152046784"
"44","205.326446533","53.0","restaurant","4.8375"
"45","749.751708984","54.0","restaurant","7.07222222222"
"46","182.509216309","55.0","restaurant","13.15"
"47","3280.10107422","57.0","restaurant","8.99901960784"
"48","5030.45800781","58.0","restaurant","4.05151515152"
"49","4705.82763672","59.0","restaurant","3.00505050505"
"50","7860.86621094","60.0","restaurant","3.24855072464"
"51","9108.25488281","61.0","restaurant","2.96449275362"
"52","11367.3974609","62.0","restaurant","3.24014227642"
"53","5956.87744141","63.0","restaurant","6.84019607843"
"54","628.96270752","64.0","restaurant","18.6766666667"
"55","5431.77685547","65.0","restaurant","5.2585106383"
