"shapeid","pop","id_grid","categry","walking_min"
"0","2777.61303711","1.0","school","8.10925925926"
"1","3780.69433594","2.0","school","NULL"
"2","468.47644043","3.0","school","7.75555555556"
"3","863.859558105","4.0","school","18.2305555556"
"4","2902.0625","5.0","school","6.08240740741"
"5","6450.72460938","6.0","school","3.62051282051"
"6","3319.79125977","7.0","school","3.36315789474"
"7","10260.3818359","8.0","school","2.47275132275"
"8","7017.6796875","9.0","school","4.8876984127"
"9","1177.91394043","10.0","school","8.28611111111"
"10","526.065368652","11.0","school","5.46111111111"
"11","2920.71679688","12.0","school","6.86388888889"
"12","8517.32910156","13.0","school","3.03758169935"
"13","1571.62365723","14.0","school","16.5944444444"
"14","1892.6295166","17.0","school","8.86666666667"
"15","2634.33569336","18.0","school","5.17555555556"
"16","2054.44433594","19.0","school","5.16944444444"
"17","5647.87841797","20.0","school","4.69444444444"
"18","6942.15429688","21.0","school","3.69761904762"
"19","9633.91113281","22.0","school","3.29814814815"
"20","2730.18725586","26.0","school","20.8866666667"
"21","3963.09448242","27.0","school","20.1888888889"
"22","3566.87817383","28.0","school","14.4468253968"
"23","3143.32495117","29.0","school","10.3203703704"
"24","4499.97460938","30.0","school","3.45740740741"
"25","7436.52539062","31.0","school","6.97703703704"
"26","5378.69921875","32.0","school","11.5511111111"
"27","5254.00048828","33.0","school","13.7476851852"
"28","4531.37011719","34.0","school","3.39444444444"
"29","7437.19726562","35.0","school","2.26287878788"
"30","1940.73022461","36.0","school","3.22575757576"
"31","512.653381348","37.0","school","4.99444444444"
"32","2282.65820312","41.0","school","11.0782051282"
"33","2272.95166016","42.0","school","5.18333333333"
"34","4335.59716797","43.0","school","4.00555555556"
"35","6078.22900391","44.0","school","5.64277777778"
"36","9217.59082031","45.0","school","6.55694444444"
"37","9518.62695312","46.0","school","5.40029239766"
"38","7671.37207031","47.0","school","4.35962962963"
"39","12887.0117188","48.0","school","4.79979423868"
"40","8707.29980469","49.0","school","4.05434782609"
